name,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31
°¡¿À¸®Äá³ª¹°Âò,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°¡ÀÚ¹Ì±¸ÀÌ,48.93048,60.4278,65.7754,69.78609,73.52941,67.64705,62.03208,76.73796,78.07486,80.2139,83.42245,88.50267,77.00534,70.85561,89.30481,97.3262,90.90909,100,85.02673,67.64705,80.74866,77.5401,94.6524,86.09625,78.07486,66.31016,64.70588,69.51871,78.07486,77.5401,87.96791
°¡ÀÚ¹ÌÀü,96.55172,100,72.41379,41.37931,100,27.5862,37.93103,37.93103,58.62068,48.27586,55.17241,24.13793,34.48275,48.27586,37.93103,41.37931,65.51724,96.55172,48.27586,41.37931,44.82758,48.27586,41.37931,27.5862,20.68965,34.48275,48.27586,20.68965,20.68965,41.37931,41.37931
°¡ÀÚ¹ÌÁ¶¸²,54.81586,67.28045,79.17847,73.51274,67.13881,66.99716,65.01416,71.24645,85.41076,75.07082,84.41926,78.61189,68.55524,80.73654,88.10198,100,96.31728,86.26062,90.7932,77.05382,81.5864,97.16713,95.7507,97.45042,84.98583,78.89518,70.25495,73.79603,88.81019,89.51841,93.20113
°¡Áö³ª¹°,66.97761,74.06716,100,90.11194,81.52985,61.56716,56.90298,67.35074,83.20895,82.27611,76.6791,66.97761,56.34328,53.91791,71.26865,71.45522,59.32835,53.3582,52.98507,47.20149,49.44029,65.11194,70.70895,56.34328,54.10447,52.42537,38.99253,41.60447,53.3582,53.3582,48.50746
°¡ÁöººÀ½,59.82079,74.55788,100,88.44612,79.60386,64.74887,68.12072,75.47748,94.24663,77.41098,73.44965,60.57533,54.27965,56.99127,74.18061,70.3136,65.4091,58.57109,53.10068,47.15868,45.81466,63.2398,64.18297,57.79297,48.8564,50.01178,41.5468,44.49422,56.11883,54.39754,49.68167
°¡ÁöÀü,84.99095,82.82097,100,79.74683,87.88426,76.31103,81.91681,74.68354,95.11754,74.14104,73.96021,58.40867,61.48282,65.09945,71.6094,58.77034,50.63291,52.80289,61.12115,34.71971,43.39963,54.24954,54.06871,38.33634,36.16636,38.51717,36.52802,34.35804,39.05967,40.68716,45.75045
°£ÀÚÀå,60,50,0,50,0,0,50,0,50,0,0,0,70,100,0,0,0,70,0,50,0,0,0,70,0,60,0,50,60,70,50
°£Àå¶±ººÀÌ,57.31225,59.0909,77.27272,50.98814,53.55731,56.52173,69.96047,76.48221,100,61.8577,65.61264,59.0909,52.37154,92.88537,91.6996,66.0079,80.03952,55.53359,68.18181,52.37154,72.72727,87.5494,53.16205,72.72727,64.42687,65.61264,58.49802,69.56521,85.77075,58.10276,56.12648
°£ÀåºÒ°í±â,32.91666,44.58333,62.91666,67.08333,68.33333,56.66666,52.5,68.33333,70.83333,92.91666,85.83333,66.66666,67.08333,55.83333,70,100,66.25,87.91666,83.33333,57.91666,69.58333,68.75,87.5,97.5,74.58333,81.66666,65.41666,58.75,68.33333,75.83333,84.16666
°£Àç¹ÌÈ¸¹«Ä§,81.01265,51.89873,48.10126,37.97468,44.30379,56.96202,62.02531,59.49367,67.0886,60.75949,41.77215,56.96202,44.30379,44.30379,50.63291,49.36708,35.44303,53.16455,60.75949,60.75949,51.89873,49.36708,69.62025,50.63291,55.6962,65.82278,77.21518,62.02531,74.68354,100,77.21518
°¥¸Å±â»ì±¸ÀÌ,0,69.23076,38.46153,38.46153,0,46.15384,100,100,61.53846,0,0,61.53846,46.15384,92.30769,0,53.84615,38.46153,46.15384,69.23076,84.61538,53.84615,100,38.46153,38.46153,0,38.46153,46.15384,38.46153,69.23076,0,0
