id,recipe_id,name,kcal,protein,fat,carbohydrates,sugars,sodium,cholesterol,saturated_fat
1,1,가오리콩나물찜,174,16.08,5.04,21,4.14,666,24.78,0.9
2,2,가자미구이,246,37.4,10.04,1.32,0,630,168.66,1.64
3,3,가자미전,231,25.755,11.07,6.915,0.3,819,176.265,2.25
4,4,가자미조림,297,37.11,7.11,21.51,10.5,1692,227.97,1.29
5,5,가지나물,32.5,1.378,1.105,4.966,2.392,283.4,0,0.182
6,6,가지볶음,21,0.54,1.302,2.016,0.93,124.2,0.006,0.198
7,7,가지전,246,10.96,14.56,17.76,1.68,674,196.96,3.6
8,8,간자장,825.5,22.36,22.035,134.225,12.155,2717,28.73,9.685
9,9,간장떡볶이,134.4,3.848,2.344,24.744,1.592,286.4,6.616,0.584
10,10,간장불고기,134.4,13.504,5.76,6.944,2.72,273.6,38.016,1.952
11,11,간재미회무침,126.9,12.771,1.269,17.469,9.639,442.8,43.362,0.243
12,12,갈매기살구이,312,26.98,22.6,0.28,0,124,96.84,9.82
13,13,갈비구이,294,19.58,21.39,5.78,5.7,389,59.95,7.61
14,14,갈비찜,516,61.29,19.71,23.7,10.71,1140,163.29,8.01
15,15,갈비탕,361.8,57.017,13.802,2.68,0.737,1333.3,210.782,5.293
16,16,갈치구이,205.8,17.71,13.734,1.232,0,473.2,68.376,3.024
17,17,갈치조림,260,25.24,9.6,17.76,7.12,928,85.88,2.68
18,18,갈치찌개,95,13.175,2.5,4.875,2.45,227.5,37.6,0.75
19,19,감자구이,83.6,1.353,3.828,11.055,1.21,106.7,5.434,1.474
20,20,감자국,84,3.6,1.04,14.68,3.4,860,0,0.12
21,21,감자볶음,100,1.75,4.84,12.41,3.37,318,0,0.63
22,22,감자샐러드,130.4,2.208,8.136,12.512,2.496,252.8,12.904,1.312
23,23,감자스프,98,1.91,6.54,7.91,3.6,196,11.3,3.14
24,24,감자전,266,3.44,13.08,33.58,3.62,586,0,1.78
25,25,감자조림,57,1.2,1.76,9.05,3.84,243.5,0,0.21
26,26,감자탕,376.3,33.443,21.518,12.031,0,1738.4,204.209,6.148
27,27,감자튀김,468,6.825,25.515,52.725,0.555,117,0,4.935
28,28,건새우볶음,60.8,8.31,2.59,1.08,0.81,310.8,77.59,0.35
29,29,건표고버섯볶음,29.6,1.624,1.592,6.008,0.528,116.8,0.008,0.184
30,30,게국지,418,44.88,12.1,31.68,10.78,4048,388.19,1.98
31,31,게살죽,568,17.92,7.12,107.36,0.16,1456,50.16,2.08
32,32,계란덮밥,143,4.31,2.82,25.14,3.07,223,45.54,0.61
33,33,고구마맛탕,492,3.3,11,94.6,38.7,76,0,1.9
34,34,고구마전,317.8,4.088,11.172,50.386,19.964,121.8,0,1.666
35,35,고구마줄기나물,37.4,0.952,1.921,4.165,0.663,302.6,0,0.289
36,36,고구마튀김,253,2.72,11.87,33.8,7.72,148,20.84,1.74
37,37,고등어구이,241.4,16.167,16.983,4.573,0,351.9,46.053,3.995
38,38,고등어조림,141,11.25,8.84,4.1,3.39,390,30.05,2.14
39,39,고등어찌개,600,48.9,33.72,25.62,7.38,2586,156.06,7.08
40,40,고추잡채,268,16.72,15.64,16.84,5.96,636,57.96,3.6
41,41,고추장문어볶음,176,21.94,2.04,17.24,10.88,974,157.78,0.44
42,42,고추장불고기,144,13.376,6.16,9.04,4.272,288,38.224,2.064
43,43,고추장불고기삼각김밥,165,3.66,1.58,34.11,0.21,343,3.51,0.45
44,44,고추장찌개,224,21.04,8.52,16.68,4.32,552,35.8,2.44
45,45,고추전,274.5,12.915,17.22,17.01,2.175,361.5,78.81,3.525
46,46,고추조림,111,3.3,4.9,13.4,7.1,779,7.09,0.7
47,47,고추튀김,202,7.6,12.6,14.6,2.3,249,35.91,2.7
48,48,곤드레나물밥,521.5,10.29,9.485,98.91,0,91,0,0.91
49,49,곤약무침,62.25,0.525,5.775,2.715,0.84,89.25,2.0925,0.8625
50,50,골뱅이무침,70.8,6.648,0.816,9.876,5.904,399.6,21.132,0.12
51,51,곰치국,420,54.3,11.8,23.9,2.8,3800,476.5,1.4
52,52,곰탕,183,19.41,3.69,18.09,0.51,717,50.4,1.5
53,53,곱창구이,276,22.335,17.595,7.065,1.665,1972.5,294.165,6.165
54,54,곱창볶음,299,16.629,6.9,42.596,7.521,494.5,174.984,2.415
55,55,곱창전골,267.9,20.349,14.877,15.162,4.389,632.7,243.39,4.047
56,56,과일샐러드,112.5,0.57,8.235,10.11,7.185,55.5,2.595,1.215
57,57,국밥,416,27.6,8.24,58.64,0.4,2304,47.84,2.72
58,58,굴국,125,12.05,1.8,14.65,0.7,1255,43.9,0.45
59,59,굴비구이,91.5,8.8725,5.55,0.735,0,81.75,29.8125,1.14
60,60,굴전,246,12.5,12.54,19.08,1.48,116,113.64,2.24
61,61,기스면,610,37.8,10.7,89.8,0.5,2760,416.5,2.1
62,62,김말이튀김,251,2.4,12.5,32.1,0,393,0,0
63,63,김무침,83,7.92,4.04,12.69,2.15,557,0,0.49
64,64,김밥,322,11.132,10.465,45.954,0,706.1,44.39,2.53
65,65,김치국,92,5.36,3.04,10.52,0.12,832,19.12,0.76
66,66,김치말이국수,300,12.9,4.8,52.02,8.28,2124,88.98,1.08
67,67,김치볶음,106,1.38,7.94,7.27,4.45,521,4.66,0.87
68,68,김치볶음밥,551.1,17.556,30.294,51.942,45.837,1551,232.353,4.719
69,69,김치전,219.6,5.454,5.58,34.83,1.98,423,11.07,0.918
70,70,김치전골,197.1,8.424,11.421,15.336,2.133,807.3,20.061,1.809
71,71,김치찌개,244,15.08,15,11.92,3.04,1964,25.16,2.76
72,72,김치찜,396,29.43,21.15,20.79,8.82,1597.5,68.535,7.2
73,73,김튀김,261,5.5,14.45,27.18,0.07,303,0,2.68
74,74,까르보나라,235,5.71,14.82,19.63,2.04,241,28.06,7.02
75,75,깐쇼새우,495,26.07,20.724,48.51,17.523,877.8,215.457,4.125
76,76,깐풍기,295,13.1,18.5,18.9,0,329,0,0
77,77,깐풍새우,240,8.15,13.86,20.56,7.2,531,61.48,2.04
78,78,깨죽,512,13.68,15.92,79.28,3.6,1160,0,2.8
79,79,깻잎전,361.5,17.73,25.77,14.55,1.065,480,131.79,5.43
80,80,깻잎찜,97,5.21,5.86,5.96,1.33,792,0,0.46
81,81,꼬리곰탕,110,14.6,5.4,0.7,0,109,0,0
82,82,꼬막무침,107,8.34,4.72,7.69,4.28,516,29.88,0.64
83,83,꼬막찜,192,24.06,4.56,13.94,2.06,1472,76.6,1.18
84,84,꽁치구이,164,19.2495,8.1385,1.6195,0,481.75,57.9945,1.312
85,85,꽁치조림,244,15.52,17.87,5.14,4.05,350,32.81,3.52
