id,foodName,ingredient,amount,time,level,recipe
1,가오리콩나물찜,"가오리 1/2마리,콩나물 300그램,미나리 1줌,대파 1/2대,후추 1작은술,참기름 1큰술,멸치육수(진하게) 1/2컵,국간장 1큰술,고춧가루 3큰술,청주 1큰술,다진 마늘 1큰술,소금 2/3큰술",2인분,60분 이내,중급,"['1. 가오리와 콩나물은 깨끗이 씻어 준비하고 미나리는 4~5센티 길이, 대파는 같은 길이로 잘라 길게 4등분 하세요. 멸치육수는 진하게 우려서 준비하시구요~ 콩나물은 머리,꼬리 뗀 굵은 콩나물을 쓰셔도 좋구요.', '2. 깊은 팬에 멸치육수를 넣고 가오리, 콩나물, 양념장 순으로 올려 뚜껑 덮고 익히세요~ 가오리가 익는 시간이 길지 않아 센불에서 5분 정도면 될겁니다.', '3. 뚜껑을 열고 중불로 줄인 후 콩나물과 양념을 고루 섞어 주세요. 밑에 있는 가오리는 건들리지 마시고 콩나물만 살살 섞어 주심 되요.', '4. 미나리, 대파, 후추, 참기름 넣고 살살 섞어서 접시에 담으면 끝.']"
2,가자미구이,"손질한 냉동가자미 2마리,전분,파채,라임(레몬),쪽파 간장 4큰술,물 3큰술,맛술 2큰술,소금 1꼬집,설탕 1큰술,올리고당 1큰술,레몬즙 (식초)3큰술,다진마늘,청양고추,홍고추",2인분,15분 이내,아무나,"['1. 가자미는 해동한 후 깨끗이 씻어 키친타올로 물기를 닦아주고', '2. 위의 재료를 모두 넣고 간장드레싱을 만들어줍니다 식초가 다 떨어져서 레몬즙을 넣었답니다', '3. 비닐백에 감자전분을 넣고 가자미에 고루 옷을 입혀준 뒤 탈탈 털어줍니다', '4. 달군 팬에 기름을 넉넉히 두르고 가자미를 중불에서 앞뒤로 노릇하게 구워줍니다', '5. 접시에 파채와 라임 슬라이스 가자미구이를 담은 뒤 드레싱을 고루 끼얹어주고 다진 파를 그 위에 조금 더 뿌려 마무리했답니다']"
3,가자미전,"가자미,소금,밀가루,계란,간장 2큰술,잔파,매운고추,간마늘 1/2큰술,간생강 1/2작은술",2인분,30분 이내,아무나,"['1. 전날  가자미에 소금 한 꼬집씩 뿌려  밑간을 한 후  채에 받쳐  물기를 빼줍니다.  (냉장보관)', '2. 키친페이퍼로 살짝 눌러주며  물기를 제거한 다음  ', '3. 밀가루 옷을  얇게 묻힙니다.  ', '4. 계란옷을 입힙니다.', '5. 달궈진 팬에  식용유를 넉넉히 붓고  가자미를 올립니다.  ', '6. 앞뒤로 노릇노릇~  타지 않게 잘 부쳐졌습니다.    역시,  전은 느림의 미학!', '7. 전이 익혀지는 동안  양념장을 만듭니다.    간장 2큰술  잔파 쏭쏭  매운고추 쏭쏭  ', '8. 생강과 마늘 약간  올리고당 약간', '9. 가자미전 위에   양념장을 끼얹고  ', '10. 가자미전 with 양념장  ', '11. 낫토는 시판하는 거  아무거나', '12. 그릇에  옮겨 담은 후  간장소스 넣고', '13. 겨자소스도 넣고요  ', '14. 낫토는 먹기전에  충분히 휘저어  요렇게~', '15. 로메인 상추  키위  포도  마요네즈  ', '16. 맛있고  든든한 브런치 완성!  ']"
4,가자미조림,"손질가자미 4마리,양파 1/2,대파 1대,청양초 2개,간장 4큰술,올리고당 1큰술,고춧가루 1.5큰술,다진마늘 1큰술,후추 톡톡,맛술 3큰술",3인분,60분 이내,아무나,"['1. 분량의 양념을 볼에 담아준다', '2. 골고루 슥슥~ 섞어준다', '3. 손질 된 가자미 냄비에 깔고  가자미가 자작하게 잠기도록 물을 부어준다', '4. 양파 채 썰어 얹고 대파,고추는 어슷 썰어 얹어준다', '5. 준비한 양념 골고루 올려준다', '6. 센 불에서 보글보글 끓어 오르면', '7. 냄비 뚜껑을 덮고 약한 불에서 15분 정도 푹~ 끓여주면  완성이에요']"
5,가지나물,"가지 2개,간장 3T,설탕 1T,매실엑기스 1T,다진파 3T,다진마늘 1/2T,청양고추 1개,참기름 1/2T,깨 1/2T",3인분,10분 이내,초급,"['1. 가지는 반으로 갈라 반달모양으로 썰어주세요', '2. 다진파와마늘을 준비하고, 고추는 쫑쫑 썰어줍니다', '3. 간장3T을 넣습니다', '4. 매실액1T,설탕1T을 넣습니다', '5. 다진마늘1/2T 을 넣습니다', '6. 섞어주세요', '7. 달궈진팬에 기름3T를 넣고 파를 볶아줍니다(파기름내기)', '8. 파향이 올라오면 가지를 넣어 볶아요', '9. 가지에 파가 골고루묻으면 양념을 부어 볶습니다', '10. 고추도 넣어줍니다', '11. 양념이 골고루 묻게 재빠르게 섞으며 볶아줍니다', '12. 이 정도로', '13. 참기름,깨를 넣고 마무리합니다']"
6,가지볶음,"가지 2개,고추 1개,양파 1/4개,대파 1대,참기름 1큰술,통깨 0.5큰술,간장 2큰술,굴소스 1큰술,설탕 1큰술,다진마늘 0.5큰술,고추가루 0.5큰술",3인분,15분 이내,아무나,"['1. 먼저 가지를 먹기좋게 썰어주어요,저처럼 동글하게 썰어도 좋고, 손가락 만하게 썰어도 OK!', '2. 양파는 채썰고, 파와 고추는 너무 얇지않게 쫑쫑~ 썰어주세요.  ', '3. 분량의 양념장을 만들어 주세요.', '4. 넉넉하게 기름을 두른 팬에 파를 먼저 넣고 볶아서 파향을 내어 주면 볶음의 풍미가 훨씬 좋아진답니다.', '5. 파가 노릇해질때 가지와 양파를 넣고 계속 볶아주어요.  ', '6. 가지가 어느정도 익으면 양념장을 넣고 양념이 잘 베이도록 볶아줍니다.', '7. 완성무렵에 참기름 1큰술 휘리릭~ 둘러주고요, 고추도 넣어줍니다. 지금 고추를 넣으면 씹히는 맛이 있어 좋더라구요.', '8. 마지막으로 통깨 0.5큰술 톡톡톡~ 완성입니다 : )', '9. 가지는 호불호가 있는 채소인데 이렇게 맛있게 볶는다면 아마도 모든분들이 만족하며 드실 수 있으실 거에요 : D']"
7,가지전,"가지,밀가루(혹은부침가루),계란,식용유,가는 소금",2인분,15분 이내,아무나,"['1. 가지를 슬라이스 해서 1회용 봉지에 넣고 가는 소금 살살 뿌려주세요.', '2. 그 봉지에 부침가루나 밀가루 넣고 다시 한번 격하게 흔들어주세요.', '3. 소금 한꼬집 넣은 계란을 잘 풀어서 밑간된 가지들 넣고 가볍게 조물조물 무쳐주세요.', '4. 중불로 달군팬에 식용유 넣고 지져냅니다.']"
8,간자장,"연근 85g,쇠고기 110g,양파 150g,호박 1/3개,적배추 65g,청주 2큰술,다진마늘 1/2큰술,후추 약간,춘장 3큰술,흑설탕 1큰술,굴소스 1/2큰술,간장 1큰술,녹말물 2큰술",2인분,60분 이내,초급,"['1. 쇠고기는 밑간재료를 모두 넣고 재워주시고 양파,연근,호박,적채는 잘게 썰어주세요.', '2. 냄비에 기름넣고 쇠고기와 야채를 모두 넣어 볶아주세요.', '3. 춘장을 넣어 춘장의 씁쓸하고 떫은맛이 없어질때까지 볶아주세요.', '4. 흑설탕,굴소스,간장을 넣고 볶다가 야채와고기가 다 익으면 녹말물을(전분:물=1:2)을 넣어 농도를 맞춘후에 살짝이 더 끓여주세요.']"
9,간장떡볶이,"떡국떡 300g,비엔나소시지 통통한 거 5개,양파 1/2개,대파 1/4대,간장 3스푼,맛술 2스푼,올리고 당 2스푼,다진 마늘 0.7스푼,참기름 1스푼,물 2/3컵,후춧가루 약간",2인분,30분 이내,아무나,"['1. 냉동실에 보관해둔 떡은 물에 헹궈 뜨거운 물에 5분 정도 담갔다 사용했습니다. 비엔나소시지는 3~4등분 해주고, 양파 1/2개는 채 썰어주고 대파는 어슷 썰어 준비해주세요.', '2. 양념재료인 간장 3, 맛술 2, 올리고 당 2, 다진 마늘 0.7, 참기름 1, 후춧가루 약간 그리고 물 2/3컵을 모두 한데 넣어 고루 섞어 소스를 만들어주세요', '3. 팬에 식용유를 두르고 떡볶이 떡, 양파, 소시지, 대파를 모두 넣어 달달 볶아주고 2~3분 정도', '4. 만들어 놓은 떡볶이 소스를 모두 넣어', '5. 보글보글 끓여주세요. 떡국떡이 얇다 보니 간이 잘 베인답니다.  국물이 자박자박해지면 취향껏 후춧가루를 더 가미해 마무리해줍니다.', '6. 간장 떡볶이 완성 ^^']"
10,간장불고기,"돼지고기 100g 정도,양파 1/2개,파 1/2대,청양고추 1개,간장 3T,올리고당 2T,맛술 2T,후추 1t,들기름 1T",1인분,15분 이내,초급,"['1. 기름을 두른 팬에 파와 청양고추를 먼저 볶아 기름을 내주세요', '2. 준비한 고기를 넣고 볶아주세요!', '3. 고기가 조금씩 익기 시작하면 양파를 넣어주세요', '4. 위에 언급한 양념 간장3T, 올리고당 2T, 들기름 1T, 후추 1t, 맛술2T 모두 넣어주세요', '5. 양념을 한 후에, 고기가 다 익을때까지 볶아주시면 됩니다.', '6. 깨를 톡톡뿌려 그릇에 내어주시면 완성입니다~']"
